,f1-score,precision,recall,support
macro avg,0.8138528138528138,0.9625,0.75,43.0
micro avg,0.9302325581395349,0.9302325581395349,0.9302325581395349,43.0
non_poi,0.961038961038961,0.925,1.0,37.0
poi,0.6666666666666666,1.0,0.5,6.0
weighted avg,0.9199637571730594,0.9354651162790698,0.9302325581395349,43.0
